district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta,gw_delta_lag1,gw_delta_lag2,rain_total_lag1,rain_total_lag2,temp_avg_lag1
Aligarh,uttar pradesh,2024.0,12.0,9.12,0.2941935483870967,15.096451612903229,1,0,271.0,3,0.2459586021505373,-0.3114747311827983,0.9667080645161334,0.0,0.43,20.449
Aligarh,uttar pradesh,2025.0,1.0,3.8,0.1225806451612903,14.591935483870968,1,0,271.0,3,0.323629032258065,0.2459586021505373,-0.3114747311827983,9.12,0.0,15.096451612903229
Aligarh,uttar pradesh,2025.0,2.0,6.890000000000001,0.2460714285714285,18.75107142857143,1,0,271.0,3,-0.6308352534562225,0.323629032258065,0.2459586021505373,3.8,9.12,14.591935483870968
Aligarh,uttar pradesh,2025.0,3.0,6.71,0.2164516129032258,24.824838709677422,1,0,271.0,3,-0.6791324884792616,-0.6308352534562225,0.323629032258065,6.890000000000001,3.8,18.75107142857143
Aligarh,uttar pradesh,2025.0,4.0,5.71,0.1903333333333333,31.218,1,0,271.0,3,0.4768217741935494,-0.6791324884792616,-0.6308352534562225,6.71,6.890000000000001,24.824838709677422
Aligarh,uttar pradesh,2025.0,5.0,54.76,1.7664516129032255,33.37096774193548,1,0,271.0,3,-0.1887653225806467,0.4768217741935494,-0.6791324884792616,5.71,6.71,31.218
Aligarh,uttar pradesh,2025.0,6.0,176.4,5.88,33.55833333333333,1,0,271.0,3,0.0005486559139775,-0.1887653225806467,0.4768217741935494,54.76,5.71,33.37096774193548
Aligarh,uttar pradesh,2025.0,7.0,158.34,5.107741935483871,29.80322580645161,1,0,271.0,3,-2.954935752688172,0.0005486559139775,-0.1887653225806467,176.4,54.76,33.55833333333333
Aligarh,uttar pradesh,2025.0,8.0,348.04,11.227096774193548,28.396129032258063,1,0,271.0,3,1.3385241935483911,-2.954935752688172,0.0005486559139775,158.34,176.4,29.80322580645161
Aligarh,uttar pradesh,2025.0,9.0,176.92,5.897333333333333,27.275,1,0,271.0,3,0.3786889400921644,1.3385241935483911,-2.954935752688172,348.04,158.34,28.396129032258063
Aligarh,uttar pradesh,2025.0,10.0,38.21,1.2325806451612904,23.576129032258063,1,0,271.0,3,1.4519392857142854,0.3786889400921644,1.3385241935483911,176.92,348.04,27.275
Aligarh,uttar pradesh,2025.0,11.0,0.0,0.0,17.211333333333336,1,0,271.0,3,0.5769484693877516,1.4519392857142854,0.3786889400921644,38.21,176.92,23.576129032258063
Aligarh,uttar pradesh,2025.0,12.0,0.0,0.0,14.633225806451613,1,0,271.0,3,0.5163265306122504,0.5769484693877516,1.4519392857142854,0.0,38.21,17.211333333333336
Alirajpur,madhya pradesh,2024.0,1.0,1.27,0.0409677419354838,20.5458064516129,2,0,60.97,1,-0.2586263440860215,-0.2334761904761904,-0.399464285714286,3.01,43.41,20.40419354838709
Alirajpur,madhya pradesh,2024.0,2.0,0.01,0.0003448275862068,23.72827586206897,2,0,60.97,1,-0.2889688940092165,-0.2586263440860215,-0.2334761904761904,1.27,3.01,20.5458064516129
Alirajpur,madhya pradesh,2024.0,3.0,0.2299999999999999,0.0074193548387096,27.252903225806453,2,0,60.97,1,-0.3524827188940094,-0.2889688940092165,-0.2586263440860215,0.01,1.27,23.72827586206897
Alirajpur,madhya pradesh,2024.0,4.0,6.37,0.2123333333333333,31.984666666666666,2,0,60.97,1,-0.4398387096774199,-0.3524827188940094,-0.2889688940092165,0.2299999999999999,0.01,27.252903225806453
Alirajpur,madhya pradesh,2024.0,5.0,7.69,0.2480645161290322,35.130967741935486,2,0,60.97,1,-0.5098275862068959,-0.4398387096774199,-0.3524827188940094,6.37,0.2299999999999999,31.984666666666666
Alirajpur,madhya pradesh,2024.0,6.0,136.07999999999998,4.536,32.291333333333334,2,0,60.97,1,-0.3676724137931035,-0.5098275862068959,-0.4398387096774199,7.69,6.37,35.130967741935486
Alirajpur,madhya pradesh,2024.0,7.0,393.9,12.706451612903225,27.605806451612903,2,0,60.97,1,0.7078225806451615,-0.3676724137931035,-0.5098275862068959,136.07999999999998,7.69,32.291333333333334
Alirajpur,madhya pradesh,2024.0,8.0,436.59,14.083548387096773,26.136451612903222,2,0,60.97,1,2.110350496277916,0.7078225806451615,-0.3676724137931035,393.9,136.07999999999998,27.605806451612903
Alirajpur,madhya pradesh,2024.0,9.0,359.5,11.983333333333333,25.791,2,0,60.97,1,1.4442376373626375,2.110350496277916,0.7078225806451615,436.59,393.9,26.136451612903222
Alirajpur,madhya pradesh,2024.0,10.0,47.6,1.535483870967742,25.46193548387097,2,0,60.97,1,-0.3628417487684729,1.4442376373626375,2.110350496277916,359.5,436.59,25.791
Alirajpur,madhya pradesh,2024.0,11.0,0.0,0.0,20.893666666666668,2,0,60.97,1,-0.8712035809018568,-0.3628417487684729,1.4442376373626375,47.6,359.5,25.46193548387097
Alirajpur,madhya pradesh,2024.0,12.0,3.75,0.1209677419354838,18.465483870967745,2,0,60.97,1,-0.5215354877081682,-0.8712035809018568,-0.3628417487684729,0.0,47.6,20.893666666666668
Alirajpur,madhya pradesh,2025.0,1.0,0.0,0.0,19.90838709677419,2,0,60.97,1,-0.4067436900106651,-0.5215354877081682,-0.8712035809018568,3.75,0.0,18.465483870967745
